                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3882,                 6.4218,                 1.5397,                0.69732,                0.45978,                0.52524,                0.40735,                0.85696,                 1.9168,                  1.169,                0.06962,                0.00062,                0.00062
                      2,                0.83748,                 1.0874,                 1.0991,                0.91777,                0.79724,                0.85895,                0.70911,                0.72008,                0.65447,                 1.0338,               0.038247,              0.0012474,              0.0012474
                      3,                0.70891,                0.65509,                 1.0117,                0.91581,                0.75062,                0.82954,                0.68762,                0.68653,                0.92913,                 1.0057,               0.006862,               0.001862,               0.001862
                      4,                0.65141,                0.59092,                0.96864,                0.94356,                0.82166,                0.91294,                0.75952,                0.67835,                0.52549,                 0.9902,              0.0019401,              0.0019401,              0.0019401
                      5,                0.60671,                0.49429,                0.93554,                0.91175,                0.86518,                0.93038,                0.77489,                0.64898,                0.53974,                0.96411,              0.0019401,              0.0019401,              0.0019401
                      6,                0.58864,                0.44771,                0.92356,                0.91238,                0.88436,                0.94278,                  0.793,                0.61973,                0.53478,                0.96229,              0.0019201,              0.0019201,              0.0019201
                      7,                 0.5721,                0.41578,                0.91533,                0.96502,                0.93711,                 0.9775,                0.83148,                0.57854,                0.40826,                0.93453,              0.0019001,              0.0019001,              0.0019001
                      8,                0.55557,                0.38391,                0.90763,                0.94839,                0.92357,                0.97718,                 0.8237,                0.59102,                0.40936,                0.93447,              0.0018801,              0.0018801,              0.0018801
                      9,                0.52759,                0.36326,                0.88725,                0.96761,                0.95223,                0.98561,                0.84709,                0.56223,                0.35655,                0.92145,              0.0018601,              0.0018601,              0.0018601
                     10,                0.52065,                0.37506,                0.88214,                0.91333,                0.94374,                0.97777,                0.85019,                0.56635,                0.40852,                0.93121,              0.0018402,              0.0018402,              0.0018402
                     11,                0.51467,                0.35956,                0.87597,                0.95473,                0.96272,                 0.9871,                0.85745,                0.54859,                 0.4455,                0.91447,              0.0018202,              0.0018202,              0.0018202
                     12,                0.49457,                0.34153,                0.86911,                0.94128,                0.95302,                0.98544,                0.84641,                0.56392,                0.43125,                0.93426,              0.0018002,              0.0018002,              0.0018002
                     13,                0.49729,                 0.3507,                0.87444,                0.97816,                0.97134,                0.99205,                0.85981,                0.54311,                0.36498,                0.91835,              0.0017802,              0.0017802,              0.0017802
                     14,                0.47436,                0.30645,                0.85847,                0.97822,                0.97452,                0.99121,                0.86528,                0.54893,                0.33474,                0.91488,              0.0017602,              0.0017602,              0.0017602
                     15,                 0.4687,                  0.306,                0.85627,                0.97307,                0.95329,                0.98853,                0.87644,                0.53593,                0.35033,                 0.9146,              0.0017403,              0.0017403,              0.0017403
                     16,                0.45966,                0.30393,                 0.8505,                0.97324,                0.97665,                0.98997,                0.87203,                0.52501,                0.33699,                0.90642,              0.0017203,              0.0017203,              0.0017203
                     17,                0.44468,                0.29574,                0.84294,                0.98276,                0.96825,                 0.9908,                0.87213,                0.55254,                 0.3248,                0.91877,              0.0017003,              0.0017003,              0.0017003
                     18,                0.44241,                0.28829,                0.83485,                0.95677,                0.97134,                0.99025,                0.87767,                0.52892,                0.31471,                0.89568,              0.0016803,              0.0016803,              0.0016803
                     19,                0.44335,                0.28894,                0.83377,                0.95999,                0.97346,                0.98948,                0.86511,                0.53447,                0.32694,                0.91096,              0.0016603,              0.0016603,              0.0016603
                     20,                0.43501,                0.28776,                0.83446,                0.97801,                0.97452,                0.99198,                 0.8876,                0.51679,                0.30481,                0.89781,              0.0016404,              0.0016404,              0.0016404
                     21,                0.42537,                0.27384,                0.83284,                0.97605,                0.97665,                0.99217,                0.88371,                0.51658,                0.30139,                 0.8904,              0.0016204,              0.0016204,              0.0016204
                     22,                0.42649,                0.27494,                0.82927,                0.97381,                 0.9724,                0.99082,                0.88944,                0.52302,                 0.3175,                0.91102,              0.0016004,              0.0016004,              0.0016004
                     23,                0.40558,                0.26162,                0.82141,                0.95952,                0.98124,                0.99118,                0.87727,                0.51611,                0.32438,                0.90291,              0.0015804,              0.0015804,              0.0015804
                     24,                0.41698,                0.27375,                0.82503,                0.97348,                0.97665,                0.99027,                0.87057,                0.50956,                0.35368,                0.89505,              0.0015604,              0.0015604,              0.0015604
                     25,                0.39691,                0.26728,                0.81613,                0.97515,                 0.9862,                0.99192,                0.88817,                0.50855,                0.32007,                0.88775,              0.0015405,              0.0015405,              0.0015405
                     26,                0.39986,                0.27356,                0.81235,                0.97749,                0.97665,                0.99223,                0.89084,                0.49572,                0.30501,                0.88089,              0.0015205,              0.0015205,              0.0015205
                     27,                0.38995,                0.26472,                0.80757,                0.97279,                0.98681,                0.99243,                0.89304,                0.50497,                0.29525,                0.89511,              0.0015005,              0.0015005,              0.0015005
                     28,                0.37504,                0.25054,                0.80153,                0.97455,                0.97568,                0.99047,                0.89642,                0.49817,                0.31602,                0.88035,              0.0014805,              0.0014805,              0.0014805
                     29,                0.37436,                0.24721,                0.80889,                0.97684,                0.98501,                0.99174,                0.89516,                0.48897,                0.29103,                0.87752,              0.0014605,              0.0014605,              0.0014605
                     30,                0.37588,                0.24777,                0.80397,                0.97461,                0.97807,                0.99116,                0.88036,                 0.4984,                0.31933,                0.88595,              0.0014406,              0.0014406,              0.0014406
                     31,                0.36356,                0.24714,                0.80014,                0.97965,                0.97877,                0.99278,                0.90055,                0.48354,                0.28801,                0.88199,              0.0014206,              0.0014206,              0.0014206
                     32,                0.36473,                0.25145,                0.79723,                0.97068,                  0.984,                0.99119,                0.89954,                0.48167,                0.30901,                 0.8758,              0.0014006,              0.0014006,              0.0014006
                     33,                0.35366,                0.24327,                0.79493,                0.97869,                 0.9862,                0.99322,                0.88438,                0.48353,                0.29989,                 0.8824,              0.0013806,              0.0013806,              0.0013806
